,score_1y,score_6m,score_3m,score_1m,score_2w,score_1w,alpha_1y,alpha_6m,alpha_3m,alpha_1m,alpha_2w,alpha_1w,final_moment_score,final_alpha_score,final_score
SBILIFE,1.5445044110722235,1.850316232305135,2.328503912524034,0.5658564047078868,1.0057114360871624,0.9596544951943671,1.0097790665367574,1.2550620619793627,1.5902557750298152,0.7235157207742348,1.9220489622356527,1.9800884517929886,1.70407212413541,1.2631950161430505,1.4836335701392303
POLICYBZR,2.553428591882839,1.7975948148619614,1.6368433296683842,0.9659726959990625,0.8057855306097568,1.2997653549628334,2.4460561913959653,1.8159555901297524,1.6044102755265,0.9275679834453484,0.7142213128219554,0.9499648947207953,1.4677324366063031,1.4436666508228049,1.455699543714554
WELINV,1.7086055568827372,1.2744213243665126,1.7511179750226724,0.902845545732628,1.3930701072388896,1.4308747307033236,2.3148943814586467,1.3930864567841537,1.7979791870542248,1.042652465710363,1.3265436028763697,2.00414662756483,1.401296916104427,1.490402624597052,1.4458497703507396
FEDERALBNK,1.1039713887229867,1.9328453362174312,1.5203994774624554,2.049995950824156,3.5680138360151865,2.26762183683997,0.807072346833665,1.2958789064638292,1.0056213777546152,1.2114818624830002,0.863948532921304,0.6404160345871038,1.7617675912219608,1.1254310289149734,1.4435993100684672
MUTHOOTCAP,0.44579234614529495,1.1154528924895444,1.4746861391167376,1.4992844366978058,1.4713470924347174,0.7209736261234143,0.49454582184689067,1.0370153745758561,1.4523749279344815,1.7813583625567957,2.259367551274564,1.3811957212673818,1.4102189790656194,1.4679980476494507,1.4391085133575352
RANEHOLDIN,1.3658753658438365,2.45857924955512,1.4217581578122327,0.8336596324883656,0.4801013052742498,0.9488582778280057,1.4688440495260275,2.8235720752222258,1.3823485225208543,0.5446572035051835,0.48529935611311936,0.6153389889160045,1.45269281856365,1.4192858373564274,1.4359893279600389
PEL,0.5494935971686933,1.3951799804608134,1.4766160354825788,1.5451794946205517,1.4974425443671442,2.528189704291433,0.5152207996064633,1.1760860997700466,1.395605688940642,1.452621366405034,0.9134140196753728,1.2991613407098344,1.4808978622196176,1.3688064743458406,1.424852168282729
ICICIGI,2.3572207316961604,1.8795984172265006,2.2820803765680333,0.5781939532333913,1.191194909508679,0.4471461083248127,1.4943539084083473,1.2935943343793108,1.4143998653933596,0.6189104957403238,1.973072271304614,1.307666349906935,1.690418057699334,1.151591948294639,1.4210050029969865
NDLVENTURE,0.4426644457242389,0.8287593879705609,1.1284023263019474,1.369253731936151,1.2557331937077376,0.7521725831099504,0.42279751100382074,0.860588385422637,1.4478183533387832,2.53094335327003,1.7360691963700134,1.2442148989613844,1.1407291603259313,1.6553098597349278,1.3980195100304296
IEX,1.279572514867767,1.9555266458374962,1.3267124330152908,1.0155892252129872,0.6605036248963292,1.7001936143388652,0.9494758942580662,1.6791179046663964,1.2404057500678103,1.3972571893995585,1.0354790973407515,2.354343923669073,1.3591383132390409,1.375203612787052,1.3671709630130464
LTF,1.042354360655251,0.8784201812163474,0.754835148343201,2.4814547624563015,2.9774445376752166,1.3843918555985568,0.738731998675752,0.7298361937502038,0.7486127486760459,2.9036614507757745,2.1597982168737984,1.2330430703708037,1.2975380391517604,1.391372048320796,1.344455043736278
BLBLIMITED,0.47628021014575583,0.41020673197664126,1.2491064413371777,2.3717225180707455,2.0342612234763076,1.9777497895969083,0.5379020156148389,0.44703138604578013,1.051275656567065,2.151099203994702,1.7372903695054047,1.3787417173807293,1.4181113224851407,1.2603738666910989,1.3392425945881197
AGSTRA,0.9672698105083345,1.2066047376148585,1.6753990012320623,0.8384865656609521,0.3845728766529097,0.9650111839582679,1.217996199423828,1.38563174578549,1.8811213847457537,0.4211139088726884,0.38350766208985265,0.6877460629638357,1.3305664178372885,1.3440212141917816,1.337293816014535
